Name,Brightness
00000a71741-a872-427b-8e3e-2f820ccb65ad.jpg,0.66
00000df921c-2e65-42c1-8df9-7bb6d38fafe2.jpg,0.84
00004c47-fe3b-46ce-bc2d-2fe223e2c897.jpg,0.72
0000df921c-2e65-42c1-8df9-7bb6d38fafe2.jpg,0.71
0000fea2-7920-46fd-b0b6-9e5da503356e.jpg,0.55
000153b2-ea35-46da-a7cc-a72973743c0e.jpg,0.72
000156ea-64a9-4d86-afdf-91ca66be216d.jpg,0.65
00028123-b71c-4e1b-a83b-5766d639a373.jpg,0.63
0002be12-de6d-41f2-ac83-59760f29401f.jpg,0.58
0002ed81-0262-43b1-89d4-a0403e5f0c28.jpg,0.48
00033a20-a7ac-4fee-a245-fbfa6716c139.jpg,0.72
00043746-bd61-4f39-acdc-c6804ca4ffc0.jpg,0.7
00050569-4d6a-4dc5-8b1e-2363b78571f4.jpg,0.62
0005d51d-df40-4579-93b1-611148b47e88.jpg,0.49
0005e6cb-76d1-4e06-abdb-3181e3d13909.jpg,0.68
0005eb31-aaf8-4931-bf53-3d8f040e2d8a.jpg,0.76
00060081-a50a-4f80-9a39-962a237b295e.jpg,0.69
0007210c-e6bd-4447-9fc8-d23bce82cfa1.jpg,0.66
00077da0-8ee8-4591-a039-a4b9ac5ad76e.jpg,0.54
00083b92-ceb0-4dd1-b8ad-199e81ec34a5.jpg,0.71
0008410d-49ed-444d-b9dc-4f5ab7ae5d12.jpg,0.7
0009a40c-3c5b-44ff-84d3-62bdf4756e38.jpg,0.64
000a7866-6f5f-423b-a9ea-f47b79a034c8.jpg,0.86
000afafc-26e6-4374-875c-47d12948d835.jpg,0.49
000afec1-fc1b-4700-9b6f-bf7d51197f5c.jpg,0.62
000b1933-9d15-45b1-a907-49efe334babf.jpg,0.66
000b4141-6310-4848-bae4-1cefa1215de7.jpg,0.61
000b735d-90ab-4f8e-bafd-15954799d15d.jpg,0.6
000b836d-c2e7-487f-9624-375c41690ae5.jpg,0.69
000bea74-bae6-491e-9e8f-ecf2b63b13a1.jpg,0.72
000da9a2-ffec-4a57-8029-0a549d9a5566.jpg,0.76
000db474-7afb-4e5d-a346-0cf4f456828d.jpg,0.54
000e130f-c220-4a27-97b0-8fc72921b108.jpg,0.74
000e173c-dc1e-416c-a391-c711783ba2a8.jpg,0.6
000e4019-fec8-406e-9fd5-9b6df85633be.jpg,0.81
000e9a92-090c-4472-8993-14a8c7406c03.jpg,0.73
000ea717-73b8-49da-8961-45aea2f274c8.jpg,0.41
000f311c-c22e-4885-a640-2b2513de1ce2.jpg,0.77
000f9e50-58ec-42d7-b2dc-885d7b6940ab.jpg,0.66
000fd56a-a79b-47b9-9af3-65486ca3cc1e.jpg,0.72
001051dc-9482-415a-91ec-bc38a0c2d36d.jpg,0.76
0010f9b8-db20-4681-b33d-b96aeb65f37f.jpg,0.64
0011c7e9-a940-42c4-8055-fe7d48b794ee.jpg,0.73
0011d1d5-dca8-4bee-b8ce-41257aca9bc7.jpg,0.83
0012442c-990e-4dd3-acdc-5ee1dfacef58.jpg,0.7
00129fb6-1e98-4ff2-8f3e-92cf87f09dc9.jpg,0.65
0012ee9d-871a-448f-a288-e6f54554b3e6.jpg,0.68
0013f0a9-7a21-4f9f-b0cb-5f0042596460.jpg,0.74
001469fe-1b6b-45c7-ac4f-ce3b16ddb5cd.jpg,0.7
0014b8c4-a923-4515-bc2c-afaf08f4706c.jpg,0.68
0016db61-bcec-474c-99f3-a7c682642947.jpg,0.62
0017028c-2fbb-465d-beaa-18f54bed4524.jpg,0.6
0017355d-0855-4ca9-a70b-2fb9b78123c4.jpg,0.6
0017c94a-3af8-47ce-9da5-100a1f1c8fa7.jpg,0.58
0018428d-d2b2-44d9-a3a5-b2f66c73fbcd.jpg,0.72
00186ffd-7e41-43d4-ae27-836ce8a8a7af.jpg,0.7
0018ca1d-d885-4ada-b208-1e167acf5093.jpg,0.61
0018dd65-4f66-4493-962a-d656d2a02ef9.jpg,0.69
00190ea6-6458-4baa-a203-b7c2e889f285.jpg,0.55
001a031f-22a2-4ee1-b398-f0310a0cce90.jpg,0.49
001a5380-b637-4035-bddf-30c7f6f84b2d.jpg,0.48
001a8728-4cf4-44ec-b423-bfeb5dd05e6f.jpg,0.57
001a91aa-2653-4e66-a9df-d73104986c01.jpg,0.55
001b3e58-0489-4367-bb1f-98de0a6efb3f.jpg,0.64
001c8977-d70c-4df9-beb7-bc267fb09427.jpg,0.78
001cdd15-376c-41c0-8868-9351577cb6d1.jpg,0.74
001d1a3c-bac2-49b6-b968-ba3b6539541b.jpg,0.75
001d23ab-b224-47f7-858f-66210a41ab77.jpg,0.75
001d271f-6c1d-4d16-b75f-6b28e9d2913d.jpg,0.67
001d4390-f6b6-46d4-a321-aacee0073602.jpg,0.7
001d8c96-06e6-4fdc-8b05-9d40fbcf8e3f.jpg,0.57
001e6f2a-0ae8-4265-92da-e902ae11df33.jpg,0.8
001e9e70-1189-48cd-a3fb-5b67301a9eda.jpg,0.47
001f03e2-efe9-482c-8eed-199268daff16.jpg,0.53
001f439b-4f21-4dea-94c4-a29ba0b45b12.jpg,0.6
001f6f5d-afcf-4bfa-901d-83616241b2fd.jpg,0.63
001f7d87-c3aa-4168-8f53-db0e9b245994.jpg,0.71
002147e1-e480-4bd1-8448-e946f72625c6.jpg,0.84
00214b68-76f0-4612-99c8-e275e7087485.jpg,0.63
00218daf-eca1-4020-8326-97987202a173.jpg,0.74
0021afe8-a4fc-47ba-9d15-e2ee80ee16e1.jpg,0.63
00227065-0697-42e2-b1bb-6690d7454a1e.jpg,0.49
0024e7f3-a8f2-4256-8c5e-f88d4636c59d.jpg,0.77
0024ff6d-37c7-4483-a30b-cbd618b4a20a.jpg,0.64
